target_rent_kzt,area_m2,rooms,lat,lon,year_built,floor_current,floors_total,ceiling_height_m,photo_count,has_photo,has_complex_id,has_microdistrict,complex_listing_count,floor_ratio,building_age,area_per_room,is_first_floor,is_last_floor,dist_to_center_km,bus_stops_count_1000m,bus_stops_count_300m,bus_stops_count_500m,bus_stops_mean_dist_km_3,bus_stops_mean_dist_km_5,bus_stops_nearest_dist_m,clinics_count_1000m,clinics_count_300m,clinics_count_500m,clinics_mean_dist_km_3,clinics_mean_dist_km_5,clinics_nearest_dist_m,dentistry_count_1000m,dentistry_count_300m,dentistry_count_500m,dentistry_mean_dist_km_3,dentistry_mean_dist_km_5,dentistry_nearest_dist_m,energy_count_1000m,energy_count_300m,energy_count_500m,energy_mean_dist_km_3,energy_mean_dist_km_5,energy_nearest_dist_m,fitness_count_1000m,fitness_count_300m,fitness_count_500m,fitness_mean_dist_km_3,fitness_mean_dist_km_5,fitness_nearest_dist_m,hospitals_count_1000m,hospitals_count_300m,hospitals_count_500m,hospitals_mean_dist_km_3,hospitals_mean_dist_km_5,hospitals_nearest_dist_m,kindergartens_count_1000m,kindergartens_count_300m,kindergartens_count_500m,kindergartens_mean_dist_km_3,kindergartens_mean_dist_km_5,kindergartens_nearest_dist_m,medcenters_count_1000m,medcenters_count_300m,medcenters_count_500m,medcenters_mean_dist_km_3,medcenters_mean_dist_km_5,medcenters_nearest_dist_m,metro_count_1000m,metro_count_300m,metro_count_500m,metro_mean_dist_km_3,metro_mean_dist_km_5,metro_nearest_dist_m,parks_count_1000m,parks_count_300m,parks_count_500m,parks_mean_dist_km_3,parks_mean_dist_km_5,parks_nearest_dist_m,polyclinics_count_1000m,polyclinics_count_300m,polyclinics_count_500m,polyclinics_mean_dist_km_3,polyclinics_mean_dist_km_5,polyclinics_nearest_dist_m,restaurants_coffee_count_1000m,restaurants_coffee_count_300m,restaurants_coffee_count_500m,restaurants_coffee_mean_dist_km_3,restaurants_coffee_mean_dist_km_5,restaurants_coffee_nearest_dist_m,schools_count_1000m,schools_count_300m,schools_count_500m,schools_mean_dist_km_3,schools_mean_dist_km_5,schools_nearest_dist_m,supermarkets_count_1000m,supermarkets_count_300m,supermarkets_count_500m,supermarkets_mean_dist_km_3,supermarkets_mean_dist_km_5,supermarkets_nearest_dist_m,transport_count_1000m,transport_count_300m,transport_count_500m,transport_mean_dist_km_3,transport_mean_dist_km_5,transport_nearest_dist_m,universities_count_1000m,universities_count_300m,universities_count_500m,universities_mean_dist_km_3,universities_mean_dist_km_5,universities_nearest_dist_m,air_pm25_cold_night,air_pm25_cold_day,air_pm25_warm_night,air_pm25_warm_day,air_nearest_dist_m,district_crime_count,district_crime_index,district,house_type,condition,bathroom_type,furnished
300000,53.0,2,43.240733351626,76.856329975583,,9,13,,21,1.0,1,0,13,0.6923077,,26.5,0,0,6.5663185,15,1,4,0.30636343,0.37484625,253.65558,4,0,1,0.6044748,0.82143205,325.75095,3,0,0,0.8170303,0.95859027,684.50995,0,0,0,2.0737667,2.8110292,1476.0903,6,0,3,0.43144432,0.55590457,380.0639,1,0,0,3.285249,3.7916765,882.0716,6,0,0,0.69488317,0.77301717,570.358,0,0,0,1.6611391,1.8358417,1270.8088,0,0,0,1.6917984,2.304179,1446.0216,0,0,0,1.8338543,2.4269726,1560.0625,0,0,0,1.736612,1.8817272,1408.7341,44,14,21,0.107860126,0.11057246,104.50661,1,0,0,0.9749546,1.0691133,778.1084,13,2,5,0.28928947,0.3470546,262.191,1,0,1,4.1185274,5.486789,485.5524,0,0,0,2.0439293,2.4426577,1289.6097,67.306656,65.13607,41.719162,41.236874,369.59607,3010.0,0.63757676,Ауэзовский район,unknown,"не новый, но аккуратный и чистый ремонт",совмещен,полностью
100000,18.0,1,43.254756,76.85558,,,,,3,1.0,0,0,0,,,18.0,0,0,6.4318686,16,0,2,0.44469,0.49313495,360.48575,1,0,0,1.2347713,1.3876872,913.23755,0,0,0,1.3583429,1.4523913,1135.3096,0,0,0,3.5368335,3.9116032,3032.334,2,0,0,0.8569621,0.9888111,655.0587,0,0,0,4.175172,4.547627,2441.5876,7,0,1,0.5632708,0.6354135,480.00964,0,0,0,2.06104,2.3700066,2011.042,0,0,0,2.992891,3.4672472,2654.7673,0,0,0,3.3049324,3.492581,3115.418,0,0,0,1.8215386,1.9668328,1671.4133,30,1,2,0.44148308,0.49116352,281.71643,3,0,1,0.57664824,0.7941412,305.54523,10,0,1,0.5130569,0.6101917,366.34354,0,0,0,4.6425886,5.5684566,1122.0629,1,1,1,2.402077,3.2471838,271.14713,82.60029,72.75246,,,1360.3953,3411.0,0.7225164,Алатауский район,unknown,"не новый, но аккуратный и чистый ремонт",unknown,полностью
390000,50.0,1,43.213475529696,76.980493891765,,6,10,,4,1.0,1,0,22,0.6,,50.0,0,0,5.907874,1,0,0,1.0134431,1.0641854,925.7552,0,0,0,1.8105333,2.0061662,1325.7817,0,0,0,2.4741194,2.600825,2280.1628,0,0,0,6.297985,6.514265,5883.4985,2,1,1,0.7144947,0.8562504,179.31064,0,0,0,2.0805945,2.6199892,2049.3486,7,2,2,0.31069726,0.4755698,143.45529,0,0,0,3.9311192,4.2923098,2705.6743,0,0,0,4.806293,5.2578797,4146.5576,0,0,0,2.3662076,2.8457186,1966.0358,0,0,0,4.3401937,4.573178,4182.7056,5,0,1,0.73856455,0.82929134,315.2979,1,0,0,1.5491507,1.8531334,860.3393,3,2,2,0.36946175,0.7044781,188.89212,0,0,0,8.274975,10.237731,6824.563,0,0,0,3.0611947,3.4360287,1441.0433,26.13106,50.792046,25.843712,38.16522,1031.9432,2504.0,0.5303961,Медеуский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
450000,65.0,2,43.233894267748,76.875101566839,,,,,43,1.0,1,0,29,,,32.5,0,0,5.3894935,17,3,8,0.21607897,0.26944688,144.29034,13,2,6,0.2893708,0.33340797,240.04204,17,4,7,0.095680214,0.15801275,56.03025,0,0,0,2.0284724,2.3916984,1484.5311,13,2,3,0.24253727,0.37332663,160.17474,0,0,0,2.4754267,2.6833212,1541.5004,16,2,2,0.33314508,0.44292644,190.77452,2,0,1,0.91167563,1.1879888,359.70865,2,0,1,0.94933784,1.6409836,335.0595,0,0,0,1.8529564,2.3614638,1753.3331,0,0,0,1.5877919,1.7422256,1446.2727,88,18,33,0.058846094,0.07203061,47.284103,4,0,1,0.76255375,0.85396284,460.8303,33,6,11,0.1109272,0.16105784,71.61136,0,0,0,4.18778,5.632766,1827.9369,0,0,0,2.0137312,2.287501,1875.1422,,114.44,,,292.28772,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",разделен,полностью
780000,65.0,2,43.231061,76.947055,,30,33,,42,1.0,1,0,19,0.90909094,,32.5,0,0,2.8353453,17,1,3,0.3267632,0.40762663,222.0522,16,2,2,0.23856436,0.37020802,73.865685,6,0,1,0.68470365,0.7388152,496.53662,0,0,0,3.6478722,3.850216,3402.4941,31,5,7,0.08665314,0.14489079,24.452879,0,0,0,1.3204436,1.4243298,1283.7024,5,0,1,0.54273546,0.60838306,421.84216,0,0,0,1.6074489,1.8687019,1023.4197,0,0,0,1.8254851,2.278083,1282.8481,2,0,2,0.8535453,1.2022609,450.6994,0,0,0,1.4084336,1.5636412,1131.8586,164,33,48,0.04921492,0.06712033,9.220929,2,1,1,0.684937,0.9397193,170.02353,32,9,15,0.05447729,0.088794366,10.442467,0,0,0,5.74949,7.6676598,4798.069,1,0,0,1.1509826,1.2091957,921.8285,38.306213,58.9347,29.841917,42.078396,515.1222,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
200000,40.0,1,43.217042,76.890371,,1,1,,7,1.0,0,0,0,1.0,,40.0,1,1,5.557491,20,3,4,0.26414582,0.34997705,246.69405,13,0,0,0.6573318,0.6794037,630.9816,12,0,1,0.55648375,0.6062564,438.89984,1,0,0,1.1950556,1.8898617,874.91,12,1,1,0.5172728,0.6280461,144.27737,0,0,0,2.447897,2.465309,2432.7998,15,2,4,0.28123125,0.36131093,242.34001,1,0,0,1.2901645,1.4646062,688.43463,0,0,0,2.4262528,2.6700404,2392.7034,0,0,0,1.9439846,2.3143826,1315.0189,4,1,1,0.54140997,0.8010782,282.6933,76,3,19,0.2237002,0.26886368,192.40797,3,1,3,0.3450373,0.6583227,170.78816,34,3,14,0.27456504,0.29732504,259.67673,0,0,0,4.3926635,6.3736506,1694.8787,1,1,1,0.93069917,1.2178879,198.01155,49.17729,57.651257,36.626785,42.91605,27.04773,2909.0,0.616183,Бостандыкский район,unknown,unknown,совмещен,полностью
450000,70.0,3,43.224046,76.955257,,3,5,,20,1.0,0,0,0,0.6,,23.333334,0,0,3.813073,16,3,5,0.2654903,0.34306157,235.53806,14,1,3,0.32280096,0.41269076,249.3339,5,1,1,0.4603761,0.6173214,210.61261,0,0,0,4.3652897,4.5169573,4119.7344,17,2,5,0.25148612,0.31562883,215.19485,4,0,0,0.6776697,1.0875778,672.4673,15,0,2,0.48648033,0.5635738,346.23676,1,0,0,2.0491843,2.4310377,540.02734,0,0,0,2.7278595,3.1779423,2130.4736,0,0,0,1.5246344,1.765764,1227.9445,0,0,0,2.2196908,2.3936508,1959.5802,104,12,26,0.12613343,0.1323527,114.60462,4,0,1,0.6239098,0.7556669,415.3974,23,2,6,0.21561442,0.28492853,140.59099,0,0,0,6.372295,8.399848,5239.883,1,0,0,1.6274153,1.7923766,965.73114,31.728859,59.822536,28.08393,42.924,411.32132,2504.0,0.5303961,Медеуский район,unknown,"свежий ремонт, новая мебель",разделен,полностью
500000,75.0,2,43.237285422135,76.882590165418,,15,19,,14,1.0,1,0,45,0.7894737,,37.5,0,0,4.6797543,26,3,8,0.13456096,0.21758069,28.050762,20,1,6,0.35011712,0.39320415,191.02348,23,2,8,0.22605263,0.28511444,59.946846,0,0,0,2.049557,2.4203272,1728.9862,20,6,8,0.112696886,0.13105477,90.81773,0,0,0,2.3015528,2.3582158,2200.541,20,2,5,0.21821491,0.28346595,90.81773,2,0,2,0.73284006,1.1120456,325.7467,1,0,1,1.0461711,1.6864946,468.1767,0,0,0,2.089407,2.3181436,1270.7518,1,0,0,1.4137219,1.6216792,926.8076,131,20,46,0.022067515,0.0389667,8.312768,6,1,2,0.43373358,0.6056505,293.65283,51,7,17,0.13483205,0.15552437,121.51473,0,0,0,4.095398,5.6058955,2141.0168,0,0,0,2.2429733,2.4168863,2139.5745,49.01912,63.232346,44.79286,44.692593,368.88654,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
450000,84.0,2,43.207909039956,76.895041477282,,,,,46,1.0,1,0,59,,,42.0,0,0,6.156185,26,3,7,0.21369751,0.2973981,129.49397,16,2,5,0.24449246,0.30294332,177.10265,11,4,6,0.14215784,0.20083441,138.49702,1,0,0,1.1470186,2.1283934,527.05994,25,6,10,0.1490397,0.18646812,74.19393,0,0,0,2.8774428,2.958787,2561.9893,22,1,7,0.3209314,0.3560156,279.513,2,0,0,0.88745034,1.2490268,582.83026,0,0,0,3.4101286,3.5518675,3368.851,1,0,0,1.5524346,2.071639,915.9741,2,0,0,0.87364304,1.1358001,538.88965,171,51,74,0.030481903,0.044565614,25.978716,6,0,1,0.5254281,0.6209807,389.7598,38,11,17,0.07014689,0.08814376,66.66148,1,0,0,4.6116,6.826065,611.1252,1,1,1,0.9866448,1.2578698,259.62628,40.195454,55.352566,35.078915,42.287655,516.73303,2909.0,0.616183,Бостандыкский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
140000,23.0,1,43.301935884883,76.890438481694,,,,,5,1.0,0,1,0,,,23.0,0,0,6.3444266,19,1,6,0.28655127,0.3564229,168.45741,1,0,1,1.6494429,2.158944,304.31015,1,0,0,1.4650241,1.7611253,682.2887,0,0,0,4.2267513,4.945809,4040.15,0,0,0,2.3847566,2.5465577,2044.1448,0,0,0,5.7509584,5.881329,5641.5034,7,1,1,0.6053588,0.71547073,221.39742,0,0,0,2.3887427,2.8803442,1237.4332,0,0,0,6.364095,6.6956754,5569.287,0,0,0,2.2809718,3.0071914,1119.7288,0,0,0,1.8231157,2.2775667,1702.22,12,2,6,0.27131602,0.32850298,215.49133,1,0,0,1.2821761,1.6242093,844.606,4,0,1,0.57028294,0.7392075,369.97836,1,0,1,3.960434,5.9560533,417.81113,0,0,0,5.5788884,5.7706633,5199.953,93.00117,59.6711,70.23095,35.116665,1390.0045,3411.0,0.7225164,Алатауский район,unknown,"свежий ремонт, новая мебель",совмещен,полностью
